sku,period,model,actual,pred,abs_err,pct_err,signed_err
BXR-13-20-A-22,2026-01,M2_Croston,0.0,3528.547508493475,3528.547508493475,,3528.547508493475
BXR-13-20-A-22,2026-01,M3_LightGBM,0.0,3798.239211724599,3798.239211724599,,3798.239211724599
BXR-13-20-A-22,2026-02,B1_LastMonth,0.0,0.0,0.0,,0.0
BXR-13-20-A-22,2026-02,B2_MA3,0.0,1620.0,1620.0,,1620.0
BXR-13-20-A-22,2026-02,B4_MA6,0.0,2565.0,2565.0,,2565.0
BXR-13-20-A-22,2026-02,B3_SeasonalNaive,0.0,3240.0,3240.0,,3240.0
BXR-13-20-A-22,2026-02,M1_AutoETS,0.0,2785.292410430576,2785.292410430576,,2785.292410430576
BXR-13-20-A-22,2026-02,M2_Croston,0.0,3528.547508493475,3528.547508493475,,3528.547508493475
BXR-13-20-A-22,2026-02,M3_LightGBM,0.0,3443.566636991955,3443.566636991955,,3443.566636991955
BXR-13-20-A-22,2026-03,B1_LastMonth,0.0,0.0,0.0,,0.0
BXR-13-20-A-22,2026-03,B2_MA3,0.0,0.0,0.0,,0.0
BXR-13-20-A-22,2026-03,B4_MA6,0.0,1890.0,1890.0,,1890.0
BXR-13-20-A-22,2026-03,B3_SeasonalNaive,0.0,3240.0,3240.0,,3240.0
BXR-13-20-A-22,2026-03,M1_AutoETS,0.0,895.9937169105226,895.9937169105226,,895.9937169105226
BXR-13-20-A-22,2026-03,M2_Croston,0.0,3528.547508493475,3528.547508493475,,3528.547508493475
BXR-13-20-A-22,2026-03,M3_LightGBM,0.0,590.9259746261446,590.9259746261446,,590.9259746261446
